t,x,y,z,ix
01-Mar-2020 00:00:00,3.31773845019243,1.71679993020173,1.71679993020173,1
01-Apr-2020 00:00:00,3.41609631206563,1.63488829640223,1.63488829640223,1
01-May-2020 00:00:00,3.75455676222683,1.77321486694953,1.77321486694953,1
01-Jun-2020 00:00:00,3.98686541836081,1.89528517273301,1.89528517273301,1
01-Jul-2020 00:00:00,4.25238343747871,2.02695999307934,2.02695999307934,1
01-Aug-2020 00:00:00,4.58426642832586,2.22929639876638,2.22929639876638,1
01-Sep-2020 00:00:00,4.85521446567024,2.38956512156189,2.38956512156189,1
01-Oct-2020 00:00:00,5.3068478987701,2.75806420024418,2.75806420024418,1
01-Nov-2020 00:00:00,5.55045266515903,2.98262448748404,2.98262448748404,1
01-Dec-2020 00:00:00,5.90354678620413,3.32181825948572,3.32181825948572,1
01-Jan-2021 00:00:00,5.77391240630648,3.21843246381008,3.21843246381008,1
01-Feb-2021 00:00:00,5.27365282009549,2.72962381664449,2.72962381664449,1
01-Mar-2021 00:00:00,4.94000047478446,2.39931105067422,2.39931105067422,1
01-Apr-2021 00:00:00,4.82312131380446,2.23442556440881,2.23442556440881,1
01-May-2021 00:00:00,4.82847857604921,2.21490553773227,2.21490553773227,1
01-Jun-2021 00:00:00,4.89095423513468,2.28675929792994,2.28675929792994,1
01-Jul-2021 00:00:00,5.18478217805677,2.55893341856953,2.55893341856953,1
01-Aug-2021 00:00:00,5.59757601524917,2.98354406506916,2.98354406506916,1
01-Sep-2021 00:00:00,5.93348412092001,3.34812739306806,3.34812739306806,1
01-Oct-2021 00:00:00,6.36697136761102,3.8484671741668,3.8484671741668,1
01-Nov-2021 00:00:00,6.99138948237431,4.57459708305751,4.57459708305751,1
01-Dec-2021 00:00:00,7.69866661515415,5.43965397191301,5.43965397191301,1
01-Jan-2022 00:00:00,8.18066395046937,6.15873829563201,6.15873829563201,1
